comment_text,label,augmented
Mình cũng bị trầm cảm do áp lực tinh cảm GĐ,1,False
quá Mình cũng bị trầm cảm do áp lực tinh cảm GĐ,1,True
Mình cũng bị trầm cảm do cảm lực tinh áp GĐ,1,True
Cái chta cần ko phải là động lực mà là sự rõ ràng. Dựa vào câu chuyện trên thì khi ta chán nản lười biếng hãy cố gắng tìm ra nguyên nhân và cách khắc phục thay vì lặp đi lặp lại hành động tiêu cực vô nghĩa đó.,1,False
Cái chta cần ko phải là động lực mà là sự rõ ràng. Dựa vào câu chuyện trên thì khi ta chán nản lười biếng hãy cố gắng tìm ra nguyên nhân và cách khắc phục thay vì lặp đi lặp lại hành động tiêu kinh cực vô nghĩa đó.,1,True
Cái chta cần ko phải là động lực mà là sự rõ ràng. Dựa vào câu chuyện trên thì khi ta chán nản lười biếng hãy cố gắng tìm ra nguyên nhân và cách khắc phục thay tiêu lặp đi lặp lại hành động vì cực vô nghĩa đó.,1,True
"Em rất biết ơn vì mình đã được nhận sách, cảm ơn anh Vũ rất rất nhiều! Em hy vọng bản thân mình và những người trầm cảm, lo âu khác sẽ đủ nguồn lực, hy vọng để sống bình an với trầm cảm và biết rằng mình xứng đáng được yêu thương! ☘️",1,False
"Em rất biết ơn vì mình đã được nhận sách, cảm ơn anh Vũ lắm rất rất nhiều! Em hy vọng bản thân mình và những người trầm cảm, lo âu khác sẽ đủ nguồn lực, hy vọng để sống bình an với trầm cảm và biết rằng mình xứng đáng được yêu thương! ☘️",1,True
"Em rất ơn vì mình đã được nhận sách, cảm ơn anh Vũ rất rất nhiều! Em hy vọng bản thân mình và những người trầm cảm, lo âu khác sẽ đủ nguồn lực, hy vọng để sống bình an trầm cảm và biết rằng mình xứng đáng được yêu thương! ☘️",1,True
"Tạm biệt, đã đến lúc phải nói câu này",1,False
"Tạm biệt, đã đến lúc lắm phải nói câu này",1,True
"Tạm biệt, đã đến lúc câu nói phải này",1,True
Mất ngủ hai năm rồi ko dây phút nào được yên giấc chỉ mong một phút ngủ ngon thôi mà ko thể nào có được nhiều lần nghĩ đến tự tự vì sông ko bằng chết,1,False
Mất ngủ hai năm vô cùng rồi ko dây phút nào được yên giấc chỉ mong một phút ngủ ngon thôi mà ko thể nào có được nhiều lần nghĩ đến tự tự vì sông ko bằng chết,1,True
Mất ngủ hai năm rồi ko dây phút nào được yên giấc chỉ mong một phút ngủ ngon thôi mà ko thể tự có được nhiều lần nghĩ đến nào tự vì sông ko bằng chết,1,True
"Câu chuyện bạn này gần giống mình, mình là đứa rất rất hiền, nhát và dễ khóc nữa, từ năm cấp 2 đến giờ khiến mình rất áp lực, bị bạn bè trêu trọc, bị bắt nạt, không theo kịp các bạn khiến mình luôn suy nghĩ tới những hướng tiêu cực như tự làm tổn thương mình. Bố mẹ mình thì cũng không áp đặt gì nhiều, vẫn rất chiều mình, quan tâm, không áp lực điểm số, ai trêu trọc mình là muốn xử bẹp luon 😶‍🌫 Nhưng không hiểu sao tính mình nó rất lạ, luôn tự làm mình tổn thương, nhiều khi suy nghĩ tiêu cực làm mình khóc sưng mắt nữa. Mình nghĩ do mình bị áp lực về bắt nạt học đường, mấy ngày nay cô mình đổi chỗ cho mình lên bàn đầu để dễ quan sát hơn, nhưng hay bị bạn bè trêu trọc khiến 2 ngày nay mình khóc rất nhiều. Mình có bảo mẹ xin cô chuyển về chỗ cũ nhưng cả 2 ngày nay cô không có tiết với không nhắc tới khiến mình mất niềm tin hẳn. Mình chỉ mong là ngày mai cô xem và cho mình đổi lại về chỗ cũ thôi, vì mình cũng là một đứa hướng nội, chỉ muốn ở trong góc:( Có gì ngày mai mình kể tiếp chứ giờ mọi thứ thực sự áp lực dữ lắm rồi... Bạn đọc đến đây thì đừng nói nặng lời với mình, mình chỉ muốn giải tỏa căng thẳng một chút thôi..",1,False
